source_department,source_id,business_key,name,address,pincode,pan,gstin,owner_name,nic_code,industry_sector,city,inspection_dates,event_history,closure_date,name_norm,address_norm,pincode_prefix,name_phonetic,ubid,link_confidence,veto_applied,veto_reason
electricity,ele_4,BIZ-00004,M/s yMsore Restaurant 4 Traders,"No 4, Main Road, Industrial Area, Belagavi",560004,ABCDE0004F,29ABCDE0004F1Z5,Owner 4,5610,Restaurant,Belagavi,2023-01-01|2023-04-08|2023-07-07|2023-09-28,inspection:2023-01-01|inspection:2023-04-08|inspection:2023-07-07|inspection:2023-09-28|closure:2025-09-03,2025-09-03,m s ymsore restaurant 4,no 4 main road industrial area belagavi,560,M252-M S MSR RSTRNT ,UBID-000007,0.5,False,
shops,sho_5,BIZ-00005,M/s Shree Durga Bakery 5 Bakerys,"Plot 5, Main Road, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-01-27|2023-05-04|2023-08-02|2023-10-31|2024-01-29,inspection:2023-01-27|inspection:2023-05-04|inspection:2023-08-02|inspection:2023-10-31|inspection:2024-01-29|renewal:2026-04-05,,m s shree durga bakery 5 bakerys,plot 5 main road bengaluru,560,M226-M S XR TRK BKR BKRS,UBID-000008,1.0,False,
factories,fac_5,BIZ-00005,Shree Durga Bakery 5 Traders,"5 Main Rd, Ind Area, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-02-02|2023-05-03|2023-08-01|2023-10-30|2024-01-28,inspection:2023-02-02|inspection:2023-05-03|inspection:2023-08-01|inspection:2023-10-30|inspection:2024-01-28|renewal:2024-04-20|renewal:2025-04-08|renewal:2026-04-26,,shree durga bakery 5,5 main rd ind area bengaluru,560,S636-XR TRK BKR ,UBID-000008,1.0,False,
pollution,pol_5,BIZ-00005,Sri Shree Durga Bakery 5 Pvt Ltd,"5 Main Rd, Ind Area, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-01-28|2023-05-05|2023-08-12|2023-11-01|2024-01-27,inspection:2023-01-28|inspection:2023-05-05|inspection:2023-08-12|inspection:2023-11-01|inspection:2024-01-27|filing:2026-05-05,,shree durga bakery 5,5 main rd ind area bengaluru,560,S636-XR TRK BKR ,UBID-000008,1.0,False,
electricity,ele_5,BIZ-00005,Sri Shree Durga Bakery 5 Traders,"No 5, Main Road, Industrial Area, Bengaluru",560005,ABCDE0005F,29ABCDE0005F1Z6,Owner 5,1071,Bakery,Bengaluru,2023-02-05|2023-05-06|2023-08-04|2023-11-02|2024-01-31,inspection:2023-02-05|inspection:2023-05-06|inspection:2023-08-04|inspection:2023-11-02|inspection:2024-01-31|electricity_bill:2025-08-08|electricity_bill:2025-09-05|electricity_bill:2025-10-03|electricity_bill:2025-11-05|electricity_bill:2025-12-04|electricity_bill:2026-01-05|electricity_bill:2026-02-04|electricity_bill:2026-03-04|electricity_bill:2026-04-01|electricity_bill:2026-04-30,,shree durga bakery 5,no 5 main road industrial area bengaluru,560,S636-XR TRK BKR ,UBID-000008,1.0,False,
shops,sho_6,BIZ-00006,Karnataka Retail 6 LLP,"No 6, Main Road, Industrial Area, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-29|2023-04-29|2023-07-28|2023-10-26|2024-01-24,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|inspection:2023-10-26|inspection:2024-01-24|renewal:2024-04-12|renewal:2025-04-22|renewal:2026-04-20,,karnataka retail 6,no 6 main road industrial area mysuru,560,K653-KRNTK RTL ,UBID-000009,1.0,False,
factories,fac_6,BIZ-00006,Shri Karnataka Retail 6 Retails,"Plot 6, Main Road, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-28|2023-04-28|2023-07-27|2023-10-25|2024-01-23,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-25|inspection:2024-01-23|renewal:2024-04-06|renewal:2025-04-10|renewal:2026-04-27,,karnataka retail 6 retails,plot 6 main road mysuru,560,K653-KRNTK RTL RTLS,UBID-000009,1.0,False,
factories,fac_6_dup,BIZ-00006,Shri KarnatakaR etail 6 Retails,"Door 6, Industrial Area, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-28|2023-04-28|2023-07-27|2023-10-25|2024-01-23,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-25|inspection:2024-01-23|renewal:2024-04-06|renewal:2025-04-10|renewal:2026-04-27,,karnatakar etail 6 retails,door 6 industrial area mysuru,560,K653-KRNTKR ETL RTLS,UBID-000009,1.0,False,
pollution,pol_6,BIZ-00006,M/s Karnataka Retial 6 Retails,"No 6, Main Road, Industrial Area, Mysuru",560006,ABCDE0006F,,Owner 6,4711,Retail,Mysuru,2023-01-30|2023-04-30|2023-07-29|2023-10-27|2024-01-25,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|inspection:2023-10-27|inspection:2024-01-25|filing:2026-05-05,,m s karnataka retial 6 retails,no 6 main road industrial area mysuru,560,M226-M S KRNTK RXL RTLS,UBID-000010,0.5,False,
electricity,ele_6,BIZ-00006,Shri Karnataka Retail 6 Enterprises,"No 6, Main Road, Industrial Area, Mysuru",560006,ABCDE0006F,29ABCDE0006F1Z7,Owner 6,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28|2024-01-19,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|inspection:2024-01-19|electricity_bill:2025-08-03|electricity_bill:2025-09-06|electricity_bill:2025-10-06|electricity_bill:2025-11-03|electricity_bill:2025-12-06|electricity_bill:2026-01-05|electricity_bill:2026-01-30|electricity_bill:2026-03-01|electricity_bill:2026-04-04|electricity_bill:2026-05-04,,karnataka retail 6,no 6 main road industrial area mysuru,560,K653-KRNTK RTL ,UBID-000009,1.0,False,
shops,sho_7,BIZ-00007,Sri Nandi Fabrication 7 Enterprises,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-01-31|2023-05-01|2023-07-30,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|renewal:2024-04-06|renewal:2025-04-16|renewal:2026-04-25,,nandi fabrication 7,no 7 main road industrial area hubballi,560,N531-NNT FBRKXN ,UBID-000011,1.0,False,
factories,fac_7,BIZ-00007,M/s Nandi Fabrication 7 Traders,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-01-30|2023-04-30|2023-07-29,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|renewal:2024-04-03|renewal:2026-04-23,,m s nandi fabrication 7,no 7 main road industrial area hubballi,560,M255-M S NNT FBRKXN ,UBID-000011,1.0,False,
pollution,pol_7,BIZ-00007,Shri Nandi Fabrication 7 Enetrprises,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-02-01|2023-05-02|2023-07-31,inspection:2023-02-01|inspection:2023-05-02|inspection:2023-07-31,,nandi fabrication 7 enetrprises,no 7 main road industrial area hubballi,560,N531-NNT FBRKXN ENTRPRSS,UBID-000011,1.0,False,
electricity,ele_7,BIZ-00007,Shri Nandi Fabrication 7 Enterprises,"No 7, Main Road, Industrial Area, Hubballi",560007,ABCDE0007F,29ABCDE0007F1Z8,Owner 7,2599,Fabrication,Hubballi,2023-02-02|2023-05-03|2023-08-06,inspection:2023-02-02|inspection:2023-05-03|inspection:2023-08-06|electricity_bill:2025-07-04|electricity_bill:2025-08-05|electricity_bill:2025-09-02|electricity_bill:2025-10-02|electricity_bill:2025-11-04|electricity_bill:2025-12-03|electricity_bill:2026-01-05|electricity_bill:2026-02-01|electricity_bill:2026-03-03|electricity_bill:2026-04-03|electricity_bill:2026-05-04,,nandi fabrication 7,no 7 main road industrial area hubballi,560,N531-NNT FBRKXN ,UBID-000011,1.0,False,
shops,sho_8,BIZ-00008,Shri Bangalor eLodging 8 Pvt Ltd,"Plot 8, Main Road, Mangaluru",560008,ABCDE0008F,29ABCDE0008F1Z9,Owner 8,5510,Lodging,Mangaluru,2023-01-27|2023-04-27|2023-07-26,inspection:2023-01-27|inspection:2023-04-27|inspection:2023-07-26|renewal:2024-04-25|renewal:2025-04-14|renewal:2026-04-03,,bangalor elodging 8,plot 8 main road mangaluru,560,B524-BNKLR ELJNK ,UBID-000012,1.0,False,
factories,fac_8,BIZ-00008,Bnagalore Lodging 8 Lodgings,"No 8, Main Road, Industrial Area, Mangaluru",560008,ABCDE0008F,,Owner 8,5510,Lodging,Mangaluru,2023-01-26|2023-04-26|2023-07-22,inspection:2023-01-26|inspection:2023-04-26|inspection:2023-07-22|renewal:2026-04-19,,bnagalore lodging 8 lodgings,no 8 main road industrial area mangaluru,560,B524-BNKLR LJNK LJNKS,UBID-000013,0.5,False,
pollution,pol_8,BIZ-00008,Bangalore Lodging 8 Pvt Ltd,"8 Main Rd, Ind Area, Mangaluru",560008,ABCDE0008F,29ABCDE0008F1Z9,Owner 8,5510,Lodging,Mangaluru,2023-01-28|2023-04-28|2023-07-27,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|filing:2026-05-05,,bangalore lodging 8,8 main rd ind area mangaluru,560,B524-BNKLR LJNK ,UBID-000012,1.0,False,
electricity,ele_8,BIZ-00008,M/s Bangalore Lodging 8,"Door 8, Industrial Area, Mangaluru",560008,ABCDE0008F,,Owner 8,5510,Lodging,Mangaluru,2023-01-26|2023-04-29|2023-07-28,inspection:2023-01-26|inspection:2023-04-29|inspection:2023-07-28|electricity_bill:2026-01-30|electricity_bill:2026-03-03|electricity_bill:2026-04-01|electricity_bill:2026-05-03,,m s bangalore lodging 8,door 8 industrial area mangaluru,560,M215-M S BNKLR LJNK ,UBID-000014,0.5,False,
shops,sho_9,BIZ-00009,Shri Aditya Restaurant 9 Pvt Ltd,"No 9, Main Road, Industrial Area, Belagavi",560009,ABCDE0009F,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-28|2023-05-07|2023-07-27,inspection:2023-01-28|inspection:2023-05-07|inspection:2023-07-27|renewal:2024-04-16|renewal:2025-04-27|renewal:2026-04-09,,aditya restaurant 9,no 9 main road industrial area belagavi,560,A336-ATTY RSTRNT ,UBID-000015,0.5,False,
factories,fac_9,BIZ-00009,Shri Aditya Restaurant 9 LLP,"No 9, Main Road, Industrial Area, Belagavi",560009,,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-27|2023-05-02|2023-07-23,inspection:2023-01-27|inspection:2023-05-02|inspection:2023-07-23|renewal:2025-04-26|renewal:2026-04-09,,aditya restaurant 9,no 9 main road industrial area belagavi,560,A336-ATTY RSTRNT ,UBID-000016,0.5,False,
pollution,pol_9,BIZ-00009,M/s Aditya Restaurant 9,"No 9, Main Road, Industrial Area, Belagavi",560009,ABCDE0009F,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-29|2023-04-29|2023-07-28,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|filing:2026-05-05,,m s aditya restaurant 9,no 9 main road industrial area belagavi,560,M233-M S ATTY RSTRNT ,UBID-000017,1.0,False,
electricity,ele_9,BIZ-00009,Shri Aditya Restaurant 9 Restaurants,"No 9, Main Road, Industrial Area, Belagavi",560009,ABCDE0009F,29ABCDE0009F1Z1,Owner 9,5610,Restaurant,Belagavi,2023-01-30|2023-04-30|2023-07-29,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-29|electricity_bill:2025-09-05|electricity_bill:2025-10-05|electricity_bill:2025-11-03|electricity_bill:2025-12-01|electricity_bill:2026-01-03|electricity_bill:2026-02-02|electricity_bill:2026-03-02|electricity_bill:2026-03-31|electricity_bill:2026-05-02,,aditya restaurant 9 restaurants,no 9 main road industrial area belagavi,560,A336-ATTY RSTRNT RSTRNTS,UBID-000017,1.0,False,
shops,sho_10,BIZ-00010,Sri Kaveri Bakery 10,"Plot 10, Main Road, Bengaluru",560010,ABCDE0010F,,Owner 10,1071,Bakery,Bengaluru,2023-01-06|2023-04-09|2023-07-08|2023-10-06|2024-01-04,inspection:2023-01-06|inspection:2023-04-09|inspection:2023-07-08|inspection:2023-10-06|inspection:2024-01-04|renewal:2024-04-09,,kaveri bakery 10,plot 10 main road bengaluru,560,K161-KFR BKR ,UBID-000018,0.5,False,
factories,fac_10,BIZ-00010,Sri Kaveri Bakery 10 Pvt Ltd,"Plot 10, Main Road, Bengaluru",560010,,,Owner 10,1071,Bakery,Bengaluru,2023-01-17|2023-04-08|2023-07-07|2023-10-05|2024-01-03,inspection:2023-01-17|inspection:2023-04-08|inspection:2023-07-07|inspection:2023-10-05|inspection:2024-01-03|renewal:2024-04-19|renewal:2025-04-02,,kaveri bakery 10,plot 10 main road bengaluru,560,K161-KFR BKR ,UBID-000019,0.5,False,
pollution,pol_10,BIZ-00010,M/s Kaveri Bakery 10 LLP,"No 10, Main Road, Industrial Area, Bengaluru",560010,ABCDE0010F,29ABCDE0010F1Z2,Owner 10,1071,Bakery,Bengaluru,2023-01-03|2023-04-03|2023-07-09|2023-10-07|2024-01-05,inspection:2023-01-03|inspection:2023-04-03|inspection:2023-07-09|inspection:2023-10-07|inspection:2024-01-05|filing:2026-05-05,,m s kaveri bakery 10,no 10 main road industrial area bengaluru,560,M221-M S KFR BKR ,UBID-000020,1.0,False,
electricity,ele_10,BIZ-00010,Kaveri Bakery 10 Pvt Ltd,"No 10, Main Road, Industrial Area, Bengaluru",560010,ABCDE0010F,29ABCDE0010F1Z2,Owner 10,1071,Bakery,Bengaluru,2023-01-11|2023-04-04|2023-07-07|2023-10-08|2024-01-06,inspection:2023-01-11|inspection:2023-04-04|inspection:2023-07-07|inspection:2023-10-08|inspection:2024-01-06|electricity_bill:2025-07-08|electricity_bill:2025-08-03|electricity_bill:2025-09-07|electricity_bill:2025-10-04|electricity_bill:2025-11-01|electricity_bill:2025-12-04|electricity_bill:2025-12-31|electricity_bill:2026-02-02|electricity_bill:2026-03-05|electricity_bill:2026-04-05|electricity_bill:2026-05-03,,kaveri bakery 10,no 10 main road industrial area bengaluru,560,K161-KFR BKR ,UBID-000020,1.0,False,
shops,sho_11,BIZ-00011,Royal Retail 11 Pvt Ltd,"No 11, Main Road, Industrial Area, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-29|2023-04-29|2023-07-28|2023-10-26,inspection:2023-01-29|inspection:2023-04-29|inspection:2023-07-28|inspection:2023-10-26|renewal:2024-04-15|renewal:2025-04-23|renewal:2026-04-09,,royal retail 11,no 11 main road industrial area mysuru,560,R463-RYL RTL ,UBID-000021,1.0,False,
factories,fac_11,BIZ-00011,Sri Royal Retail 11 LLP,"Door 11, Industrial Area, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-28|2023-04-28|2023-07-27|2023-10-25,inspection:2023-01-28|inspection:2023-04-28|inspection:2023-07-27|inspection:2023-10-25|renewal:2024-04-25|renewal:2025-04-09|renewal:2026-04-25,,royal retail 11,door 11 industrial area mysuru,560,R463-RYL RTL ,UBID-000021,1.0,False,
pollution,pol_11,BIZ-00011,Shri Royal Retail 11,"No 11, Main Road, Industrial Area, Mysuru",560011,ABCDE0011F,,Owner 11,4711,Retail,Mysuru,2023-01-30|2023-04-30|2023-07-26|2023-11-05,inspection:2023-01-30|inspection:2023-04-30|inspection:2023-07-26|inspection:2023-11-05,,royal retail 11,no 11 main road industrial area mysuru,560,R463-RYL RTL ,UBID-000022,0.5,False,
electricity,ele_11,BIZ-00011,Royal Retial 11 Enterprises,"Plot 11, Main Road, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|electricity_bill:2026-02-01|electricity_bill:2026-03-03|electricity_bill:2026-04-01|electricity_bill:2026-04-30,,royal retial 11,plot 11 main road mysuru,560,R463-RYL RXL ,UBID-000021,1.0,False,
electricity,ele_11_dup,BIZ-00011,Royal Retial 11 Enterprises,"Plot 11, Main Road, Mysuru",560011,ABCDE0011F,29ABCDE0011F1Z3,Owner 11,4711,Retail,Mysuru,2023-01-31|2023-05-01|2023-07-30|2023-10-28,inspection:2023-01-31|inspection:2023-05-01|inspection:2023-07-30|inspection:2023-10-28|electricity_bill:2026-02-01|electricity_bill:2026-03-03|electricity_bill:2026-04-01|electricity_bill:2026-04-30,,royal retial 11,plot 11 main road mysuru,560,R463-RYL RXL ,UBID-000021,1.0,False,
